#{"t_start": 1746947258.6964107, "env_id": "None"}
r,l,t
-1.0,1,15.778553
-1.0,1,15.779263
-1.0,1,15.779931
1.0,1,15.780585
-1.0,1,15.781216
1.0,1,15.781862
1.0,1,15.782518
1.0,1,15.783139
-1.0,1,15.783796
-1.0,1,15.784449
1.0,1,15.785127
-1.0,1,15.785835
1.0,1,15.786487
-1.0,1,15.787295
1.0,1,15.788066
-1.0,1,15.788718
1.0,1,15.78937
-1.0,1,15.789991
-1.0,1,15.790642
1.0,1,15.791292
1.0,1,15.791916
-1.0,1,15.792567
-1.0,1,15.793189
1.0,1,15.793841
-1.0,1,15.794521
1.0,1,15.795144
-1.0,1,15.795863
1.0,1,15.796526
1.0,1,15.798102
1.0,1,15.798764
1.0,1,15.79943
-1.0,1,15.800056
1.0,1,15.800795
1.0,1,15.80146
-1.0,1,15.802088
1.0,1,15.802743
-1.0,1,15.803491
-1.0,1,15.804121
1.0,1,15.804789
-1.0,1,15.80545
1.0,1,15.806074
-1.0,1,15.806888
-1.0,1,15.807714
-1.0,1,15.808443
1.0,1,15.80907
-1.0,1,15.809744
-1.0,1,15.810403
1.0,1,15.811031
-1.0,1,15.811682
1.0,1,15.812338
1.0,1,15.812961
1.0,1,15.81362
-1.0,1,15.814264
-1.0,1,15.814887
1.0,1,15.815541
1.0,1,15.816164
-1.0,1,15.816917
1.0,1,15.817597
1.0,1,15.818314
1.0,1,15.818934
-1.0,1,15.819588
-1.0,1,15.820205
1.0,1,15.820852
1.0,1,15.821502
1.0,1,15.822226
1.0,1,15.822896
-1.0,1,15.823548
-1.0,1,15.824171
1.0,1,15.824819
-1.0,1,15.825474
1.0,1,15.826098
-1.0,1,15.826823
1.0,1,15.82752
-1.0,1,15.828297
1.0,1,15.828928
-1.0,1,15.829583
1.0,1,15.830204
-1.0,1,15.830856
1.0,1,15.831509
-1.0,1,15.832131
1.0,1,15.832779
1.0,1,15.833434
-1.0,1,15.834059
-1.0,1,15.834741
-1.0,1,15.835453
-1.0,1,15.836126
-1.0,1,15.836957
-1.0,1,15.837788
1.0,1,15.83852
-1.0,1,15.839197
1.0,1,15.839908
-1.0,1,15.840563
1.0,1,15.841182
1.0,1,15.841835
-1.0,1,15.842524
-1.0,1,15.843147
1.0,1,15.843798
1.0,1,15.844452
1.0,1,15.845074
1.0,1,15.845728
1.0,1,15.84638
1.0,1,15.847105
-1.0,1,15.847938
1.0,1,15.848608
1.0,1,15.849258
1.0,1,15.849883
1.0,1,15.850531
-1.0,1,15.851154
-1.0,1,15.851807
-1.0,1,15.85246
-1.0,1,15.853085
-1.0,1,15.853799
-1.0,1,15.854459
1.0,1,15.85508
-1.0,1,15.855791
-1.0,1,15.856484
1.0,1,15.857276
1.0,1,15.858019
1.0,1,15.858668
-1.0,1,15.859318
-1.0,1,15.859939
-1.0,1,15.860588
-1.0,1,15.861219
1.0,1,15.86188
1.0,1,15.862533
